PO,Item,Material,MaterialDesc,Plant,PlantDesc,Vendor,VendorNo,OrderDate,DeliveryDate,OrderQty,Unit,NetValue,Currency
4500001234,0010,555-555,Hex Bolt M8x40,1000,Frankfurt Plant,Bauer Fasteners GmbH,0000100123,6/2/2026,6/16/2026,5000,PC,1250,EUR
4500001234,0020,100-320,Hex Nut M8,1000,Frankfurt Plant,Bauer Fasteners GmbH,0000100123,6/2/2026,6/16/2026,5000,PC,480,EUR
4500001255,0010,200-115,Stainless Steel Sheet 2mm,1000,Frankfurt Plant,NordStahl AG,0000100456,5/20/2026,6/5/2026,200,M2,8600,EUR
4500001301,0010,300-010,Hydraulic Pump HP-40,2000,Hamburg Plant,MaxFlow Hydraulics Ltd,0000100789,6/10/2026,7/1/2026,12,PC,43200,EUR
4500001301,0020,300-011,Hydraulic Hose 3/4in,2000,Hamburg Plant,MaxFlow Hydraulics Ltd,0000100789,6/10/2026,7/1/2026,300,M,3600,EUR
4500001312,0010,100-300,Hex Bolt M8x40,1000,Frankfurt Plant,Bauer Fasteners GmbH,0000100123,4/18/2026,5/2/2026,2000,PC,500,EUR
4500001340,0010,400-050,Industrial Bearing 6205,3000,Stuttgart Plant,Präzision Lager KG,0000101002,6/25/2026,7/10/2026,500,PC,6250,EUR
4500001355,0010,200-118,Aluminum Sheet 1.5mm,1000,Frankfurt Plant,NordStahl AG,0000100456,3/14/2026,3/28/2026,150,M2,4200,EUR
4500001378,0010,500-200,PLC Control Module CM-8,2000,Hamburg Plant,AutoTech Systems,0000101250,6/30/2026,8/5/2026,8,PC,28800,EUR
4500001390,0010,300-011,Hydraulic Hose 3/4in,2000,Hamburg Plant,MaxFlow Hydraulics Ltd,0000100789,6/5/2026,6/19/2026,150,M,1800,EUR
4500001402,0010,100-330,Washer M8,1000,Frankfurt Plant,Bauer Fasteners GmbH,0000100123,2/11/2026,2/25/2026,10000,PC,350,EUR
4500001415,0010,400-055,Industrial Bearing 6306,3000,Stuttgart Plant,Präzision Lager KG,0000101002,6/22/2026,7/6/2026,200,PC,3800,EUR
4500001428,0010,600-001,Safety Gloves - Cut Resistant,1000,Frankfurt Plant,ProtectWear GmbH,0000101488,6/28/2026,7/12/2026,1000,PR,4500,EUR
4500001440,0010,500-210,Sensor Kit SK-12,2000,Hamburg Plant,AutoTech Systems,0000101250,1/15/2026,1/29/2026,40,PC,9600,EUR
4500001455,0010,200-115,Stainless Steel Sheet 2mm,1000,Frankfurt Plant,NordStahl AG,0000100456,7/1/2026,7/15/2026,80,M2,3440,EUR
4500001467,0010,300-010,Hydraulic Pump HP-40,2000,Hamburg Plant,MaxFlow Hydraulics Ltd,0000100789,5/5/2026,5/19/2026,4,PC,14400,EUR
4500001480,0010,600-002,Safety Helmet - Class E,3000,Stuttgart Plant,ProtectWear GmbH,0000101488,6/18/2026,7/2/2026,300,PC,5400,EUR
4500001495,0010,400-050,Industrial Bearing 6205,3000,Stuttgart Plant,Präzision Lager KG,0000101002,4/2/2026,4/16/2026,100,PC,1250,EUR
4500001510,0010,500-200,PLC Control Module CM-8,2000,Hamburg Plant,AutoTech Systems,0000101250,7/3/2026,8/14/2026,3,PC,10800,EUR
4500001523,0010,100-320,Hex Nut M8,1000,Frankfurt Plant,Bauer Fasteners GmbH,0000100123,5/29/2026,6/12/2026,8000,PC,768,EUR
