PONumber,Vendor,VendorNo,L1Approve,L2Approve
4500001234,Bauer Fasteners GmbH,100123,TRUE,TRUE
4500001255,NordStahl AG,100456,,
4500001301,MaxFlow Hydraulics Ltd,100789,FALSE,
4500001312,Bauer Fasteners GmbH,100123,TRUE,
4500001340,Präzision Lager KG,101002,,
4500001355,NordStahl AG,100456,FALSE,
4500001378,AutoTech Systems,101250,TRUE,
4500001390,MaxFlow Hydraulics Ltd,100789,FALSE,
4500001402,Bauer Fasteners GmbH,100123,TRUE,
4500001415,Präzision Lager KG,101002,,
4500001428,ProtectWear GmbH,101488,,
4500001440,AutoTech Systems,101250,TRUE,
4500001455,NordStahl AG,100456,TRUE,
4500001467,MaxFlow Hydraulics Ltd,100789,,
4500001480,ProtectWear GmbH,101488,,
4500001495,Präzision Lager KG,101002,TRUE,
4500001510,AutoTech Systems,101250,,
4500001523,Bauer Fasteners GmbH,100123,,
